name,value,year,lastValue,rank,color
Herbalife Gran Canaria,1,3,1,14,56 100 50
Fenerbahce Beko Istanbul,3,4,3,3,56 100 50
Olympiacos Piraeus,3,4,2,6,56 100 50
CSKA Moscow,4,4,3,2,56 100 50
Anadolu Efes Istanbul,3,4,2,5,56 100 50
Real Madrid,4,4,3,1,56 100 50
AX Armani Exchange Olimpia Milan,3,4,2,4,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,1,4,1,13,56 100 50
Panathinaikos OPAP Athens,2,4,2,7,56 100 50
Maccabi FOX Tel Aviv,1,4,1,11,56 100 50
Zalgiris Kaunas,2,4,1,8,56 100 50
Buducnost VOLI Podgorica,0,4,0,16,56 100 50
Darussafaka Tekfen Istanbul,1,4,1,12,56 100 50
FC Bayern Munich,2,4,1,10,56 100 50
FC Barcelona Lassa,2,4,1,9,56 100 50
Khimki Moscow Region,0,4,0,15,56 100 50
Herbalife Gran Canaria,1,4,1,14,56 100 50
Fenerbahce Beko Istanbul,4,5,3,3,56 100 50
Olympiacos Piraeus,3,5,3,8,56 100 50
CSKA Moscow,5,5,4,2,56 100 50
Anadolu Efes Istanbul,3,5,3,7,56 100 50
Real Madrid,5,5,4,1,56 100 50
AX Armani Exchange Olimpia Milan,4,5,3,4,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,2,5,1,9,56 100 50
Panathinaikos OPAP Athens,3,5,2,5,56 100 50
Maccabi FOX Tel Aviv,1,5,1,13,56 100 50
Zalgiris Kaunas,2,5,2,10,56 100 50
Buducnost VOLI Podgorica,0,5,0,16,56 100 50
Darussafaka Tekfen Istanbul,1,5,1,14,56 100 50
FC Bayern Munich,2,5,2,11,56 100 50
FC Barcelona Lassa,3,5,2,6,56 100 50
Khimki Moscow Region,1,5,0,12,56 100 50
Herbalife Gran Canaria,1,5,1,15,56 100 50
Fenerbahce Beko Istanbul,5,6,4,3,56 100 50
Olympiacos Piraeus,3,6,3,10,56 100 50
CSKA Moscow,6,6,5,2,56 100 50
Anadolu Efes Istanbul,4,6,3,7,56 100 50
Real Madrid,6,6,5,1,56 100 50
AX Armani Exchange Olimpia Milan,4,6,4,5,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,2,6,2,11,56 100 50
Panathinaikos OPAP Athens,4,6,3,4,56 100 50
Maccabi FOX Tel Aviv,1,6,1,13,56 100 50
Zalgiris Kaunas,3,6,2,9,56 100 50
Buducnost VOLI Podgorica,0,6,0,16,56 100 50
Darussafaka Tekfen Istanbul,1,6,1,15,56 100 50
FC Bayern Munich,3,6,2,8,56 100 50
FC Barcelona Lassa,4,6,3,6,56 100 50
Khimki Moscow Region,1,6,1,12,56 100 50
Herbalife Gran Canaria,1,6,1,14,56 100 50
Fenerbahce Beko Istanbul,6,7,5,3,56 100 50
Olympiacos Piraeus,3,7,3,10,56 100 50
CSKA Moscow,7,7,6,2,56 100 50
Anadolu Efes Istanbul,5,7,4,5,56 100 50
Real Madrid,7,7,6,1,56 100 50
AX Armani Exchange Olimpia Milan,5,7,4,4,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,2,7,2,11,56 100 50
Panathinaikos OPAP Athens,4,7,4,7,56 100 50
Maccabi FOX Tel Aviv,1,7,1,14,56 100 50
Zalgiris Kaunas,3,7,3,9,56 100 50
Buducnost VOLI Podgorica,1,7,0,15,56 100 50
Darussafaka Tekfen Istanbul,1,7,1,16,56 100 50
FC Bayern Munich,3,7,3,8,56 100 50
FC Barcelona Lassa,5,7,4,6,56 100 50
Khimki Moscow Region,1,7,1,13,56 100 50
Herbalife Gran Canaria,2,7,1,12,56 100 50
Fenerbahce Beko Istanbul,7,8,6,3,56 100 50
Olympiacos Piraeus,4,8,3,8,56 100 50
CSKA Moscow,8,8,7,2,56 100 50
Anadolu Efes Istanbul,6,8,5,4,56 100 50
Real Madrid,8,8,7,1,56 100 50
AX Armani Exchange Olimpia Milan,6,8,5,5,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,2,8,2,12,56 100 50
Panathinaikos OPAP Athens,5,8,4,6,56 100 50
Maccabi FOX Tel Aviv,1,8,1,14,56 100 50
Zalgiris Kaunas,3,8,3,9,56 100 50
Buducnost VOLI Podgorica,1,8,1,15,56 100 50
Darussafaka Tekfen Istanbul,1,8,1,16,56 100 50
FC Bayern Munich,3,8,3,10,56 100 50
FC Barcelona Lassa,5,8,5,7,56 100 50
Khimki Moscow Region,2,8,1,11,56 100 50
Herbalife Gran Canaria,2,8,2,13,56 100 50
Fenerbahce Beko Istanbul,8,9,7,2,56 100 50
Olympiacos Piraeus,5,9,4,8,56 100 50
CSKA Moscow,8,9,8,3,56 100 50
Anadolu Efes Istanbul,7,9,6,4,56 100 50
Real Madrid,8,9,8,1,56 100 50
AX Armani Exchange Olimpia Milan,6,9,6,5,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,3,9,2,11,56 100 50
Panathinaikos OPAP Athens,5,9,5,7,56 100 50
Maccabi FOX Tel Aviv,1,9,1,15,56 100 50
Zalgiris Kaunas,3,9,3,10,56 100 50
Buducnost VOLI Podgorica,2,9,1,13,56 100 50
Darussafaka Tekfen Istanbul,1,9,1,16,56 100 50
FC Bayern Munich,4,9,3,9,56 100 50
FC Barcelona Lassa,6,9,5,6,56 100 50
Khimki Moscow Region,3,9,2,12,56 100 50
Herbalife Gran Canaria,2,9,2,14,56 100 50
Fenerbahce Beko Istanbul,9,10,8,1,56 100 50
Olympiacos Piraeus,6,10,5,5,56 100 50
CSKA Moscow,9,10,8,2,56 100 50
Anadolu Efes Istanbul,8,10,7,4,56 100 50
Real Madrid,8,10,8,3,56 100 50
AX Armani Exchange Olimpia Milan,6,10,6,6,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,3,10,3,12,56 100 50
Panathinaikos OPAP Athens,5,10,5,8,56 100 50
Maccabi FOX Tel Aviv,2,10,1,14,56 100 50
Zalgiris Kaunas,4,10,3,9,56 100 50
Buducnost VOLI Podgorica,2,10,2,15,56 100 50
Darussafaka Tekfen Istanbul,1,10,1,16,56 100 50
FC Bayern Munich,4,10,4,11,56 100 50
FC Barcelona Lassa,6,10,6,7,56 100 50
Khimki Moscow Region,4,10,3,10,56 100 50
Herbalife Gran Canaria,3,10,2,13,56 100 50
Fenerbahce Beko Istanbul,10,11,9,1,56 100 50
Olympiacos Piraeus,6,11,6,5,56 100 50
CSKA Moscow,9,11,9,3,56 100 50
Anadolu Efes Istanbul,8,11,8,4,56 100 50
Real Madrid,9,11,8,2,56 100 50
AX Armani Exchange Olimpia Milan,6,11,6,6,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,4,11,3,11,56 100 50
Panathinaikos OPAP Athens,5,11,5,8,56 100 50
Maccabi FOX Tel Aviv,3,11,2,14,56 100 50
Zalgiris Kaunas,5,11,4,9,56 100 50
Buducnost VOLI Podgorica,3,11,2,15,56 100 50
Darussafaka Tekfen Istanbul,1,11,1,16,56 100 50
FC Bayern Munich,5,11,4,10,56 100 50
FC Barcelona Lassa,6,11,6,7,56 100 50
Khimki Moscow Region,4,11,4,12,56 100 50
Herbalife Gran Canaria,4,11,3,13,56 100 50
Fenerbahce Beko Istanbul,11,12,10,1,56 100 50
Olympiacos Piraeus,7,12,6,5,56 100 50
CSKA Moscow,10,12,9,3,56 100 50
Anadolu Efes Istanbul,8,12,8,4,56 100 50
Real Madrid,10,12,9,2,56 100 50
AX Armani Exchange Olimpia Milan,6,12,6,7,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,5,12,4,11,56 100 50
Panathinaikos OPAP Athens,6,12,5,6,56 100 50
Maccabi FOX Tel Aviv,3,12,3,14,56 100 50
Zalgiris Kaunas,5,12,5,10,56 100 50
Buducnost VOLI Podgorica,3,12,3,15,56 100 50
Darussafaka Tekfen Istanbul,1,12,1,16,56 100 50
FC Bayern Munich,6,12,5,8,56 100 50
FC Barcelona Lassa,6,12,6,9,56 100 50
Khimki Moscow Region,4,12,4,13,56 100 50
Herbalife Gran Canaria,5,12,4,12,56 100 50
Fenerbahce Beko Istanbul,12,13,11,1,56 100 50
Olympiacos Piraeus,8,13,7,5,56 100 50
CSKA Moscow,10,13,10,3,56 100 50
Anadolu Efes Istanbul,9,13,8,4,56 100 50
Real Madrid,11,13,10,2,56 100 50
AX Armani Exchange Olimpia Milan,6,13,6,8,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,6,13,5,9,56 100 50
Panathinaikos OPAP Athens,6,13,6,10,56 100 50
Maccabi FOX Tel Aviv,4,13,3,13,56 100 50
Zalgiris Kaunas,6,13,5,7,56 100 50
Buducnost VOLI Podgorica,3,13,3,15,56 100 50
Darussafaka Tekfen Istanbul,1,13,1,16,56 100 50
FC Bayern Munich,7,13,6,6,56 100 50
FC Barcelona Lassa,6,13,6,11,56 100 50
Khimki Moscow Region,4,13,4,14,56 100 50
Herbalife Gran Canaria,5,13,5,12,56 100 50
Fenerbahce Beko Istanbul,13,14,12,1,56 100 50
Olympiacos Piraeus,9,14,8,5,56 100 50
CSKA Moscow,11,14,10,3,56 100 50
Anadolu Efes Istanbul,9,14,9,4,56 100 50
Real Madrid,12,14,11,2,56 100 50
AX Armani Exchange Olimpia Milan,7,14,6,7,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,6,14,6,10,56 100 50
Panathinaikos OPAP Athens,6,14,6,11,56 100 50
Maccabi FOX Tel Aviv,4,14,4,14,56 100 50
Zalgiris Kaunas,7,14,6,6,56 100 50
Buducnost VOLI Podgorica,3,14,3,15,56 100 50
Darussafaka Tekfen Istanbul,1,14,1,16,56 100 50
FC Bayern Munich,7,14,7,8,56 100 50
FC Barcelona Lassa,7,14,6,9,56 100 50
Khimki Moscow Region,5,14,4,12,56 100 50
Herbalife Gran Canaria,5,14,5,13,56 100 50
Fenerbahce Beko Istanbul,14,15,13,1,56 100 50
Olympiacos Piraeus,9,15,9,5,56 100 50
CSKA Moscow,11,15,11,3,56 100 50
Anadolu Efes Istanbul,9,15,9,4,56 100 50
Real Madrid,12,15,12,2,56 100 50
AX Armani Exchange Olimpia Milan,7,15,7,9,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,7,15,6,10,56 100 50
Panathinaikos OPAP Athens,7,15,6,11,56 100 50
Maccabi FOX Tel Aviv,5,15,4,13,56 100 50
Zalgiris Kaunas,7,15,6,8,56 100 50
Buducnost VOLI Podgorica,3,15,3,15,56 100 50
Darussafaka Tekfen Istanbul,2,15,1,16,56 100 50
FC Bayern Munich,8,15,7,6,56 100 50
FC Barcelona Lassa,8,15,7,7,56 100 50
Khimki Moscow Region,5,15,5,14,56 100 50
Herbalife Gran Canaria,6,15,5,12,56 100 50
Fenerbahce Beko Istanbul,15,16,14,1,56 100 50
Olympiacos Piraeus,10,16,9,5,56 100 50
CSKA Moscow,12,16,11,3,56 100 50
Anadolu Efes Istanbul,10,16,9,4,56 100 50
Real Madrid,13,16,12,2,56 100 50
AX Armani Exchange Olimpia Milan,8,16,7,7,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,7,16,7,10,56 100 50
Panathinaikos OPAP Athens,7,16,7,11,56 100 50
Maccabi FOX Tel Aviv,5,16,5,14,56 100 50
Zalgiris Kaunas,7,16,7,9,56 100 50
Buducnost VOLI Podgorica,3,16,3,15,56 100 50
Darussafaka Tekfen Istanbul,2,16,2,16,56 100 50
FC Bayern Munich,8,16,8,8,56 100 50
FC Barcelona Lassa,9,16,8,6,56 100 50
Khimki Moscow Region,6,16,5,12,56 100 50
Herbalife Gran Canaria,6,16,6,13,56 100 50
Fenerbahce Beko Istanbul,15,17,15,1,56 100 50
Olympiacos Piraeus,11,17,10,5,56 100 50
CSKA Moscow,13,17,12,3,56 100 50
Anadolu Efes Istanbul,11,17,10,4,56 100 50
Real Madrid,14,17,13,2,56 100 50
AX Armani Exchange Olimpia Milan,8,17,8,7,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,7,17,7,10,56 100 50
Panathinaikos OPAP Athens,8,17,7,8,56 100 50
Maccabi FOX Tel Aviv,6,17,5,13,56 100 50
Zalgiris Kaunas,7,17,7,11,56 100 50
Buducnost VOLI Podgorica,3,17,3,15,56 100 50
Darussafaka Tekfen Istanbul,2,17,2,16,56 100 50
FC Bayern Munich,8,17,8,9,56 100 50
FC Barcelona Lassa,10,17,9,6,56 100 50
Khimki Moscow Region,7,17,6,12,56 100 50
Herbalife Gran Canaria,6,17,6,14,56 100 50
Fenerbahce Beko Istanbul,16,18,15,1,56 100 50
Olympiacos Piraeus,11,18,11,5,56 100 50
CSKA Moscow,13,18,13,3,56 100 50
Anadolu Efes Istanbul,12,18,11,4,56 100 50
Real Madrid,15,18,14,2,56 100 50
AX Armani Exchange Olimpia Milan,8,18,8,9,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,8,18,7,8,56 100 50
Panathinaikos OPAP Athens,8,18,8,10,56 100 50
Maccabi FOX Tel Aviv,7,18,6,11,56 100 50
Zalgiris Kaunas,7,18,7,13,56 100 50
Buducnost VOLI Podgorica,4,18,3,15,56 100 50
Darussafaka Tekfen Istanbul,2,18,2,16,56 100 50
FC Bayern Munich,9,18,8,7,56 100 50
FC Barcelona Lassa,11,18,10,6,56 100 50
Khimki Moscow Region,7,18,7,12,56 100 50
Herbalife Gran Canaria,6,18,6,14,56 100 50
Fenerbahce Beko Istanbul,17,19,16,1,56 100 50
Olympiacos Piraeus,12,19,11,5,56 100 50
CSKA Moscow,14,19,13,3,56 100 50
Anadolu Efes Istanbul,13,19,12,4,56 100 50
Real Madrid,15,19,15,2,56 100 50
AX Armani Exchange Olimpia Milan,8,19,8,9,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,9,19,8,7,56 100 50
Panathinaikos OPAP Athens,8,19,8,12,56 100 50
Maccabi FOX Tel Aviv,8,19,7,10,56 100 50
Zalgiris Kaunas,8,19,7,11,56 100 50
Buducnost VOLI Podgorica,5,19,4,15,56 100 50
Darussafaka Tekfen Istanbul,2,19,2,16,56 100 50
FC Bayern Munich,9,19,9,8,56 100 50
FC Barcelona Lassa,11,19,11,6,56 100 50
Khimki Moscow Region,7,19,7,13,56 100 50
Herbalife Gran Canaria,6,19,6,14,56 100 50
Fenerbahce Beko Istanbul,18,20,17,1,56 100 50
Olympiacos Piraeus,12,20,12,5,56 100 50
CSKA Moscow,15,20,14,3,56 100 50
Anadolu Efes Istanbul,13,20,13,4,56 100 50
Real Madrid,16,20,15,2,56 100 50
AX Armani Exchange Olimpia Milan,9,20,8,8,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,9,20,9,9,56 100 50
Panathinaikos OPAP Athens,8,20,8,12,56 100 50
Maccabi FOX Tel Aviv,9,20,8,10,56 100 50
Zalgiris Kaunas,8,20,8,11,56 100 50
Buducnost VOLI Podgorica,6,20,5,15,56 100 50
Darussafaka Tekfen Istanbul,3,20,2,16,56 100 50
FC Bayern Munich,10,20,9,7,56 100 50
FC Barcelona Lassa,11,20,11,6,56 100 50
Khimki Moscow Region,7,20,7,13,56 100 50
Herbalife Gran Canaria,6,20,6,14,56 100 50
Fenerbahce Beko Istanbul,18,21,18,1,56 100 50
Olympiacos Piraeus,12,21,12,6,56 100 50
CSKA Moscow,16,21,15,3,56 100 50
Anadolu Efes Istanbul,13,21,13,4,56 100 50
Real Madrid,17,21,16,2,56 100 50
AX Armani Exchange Olimpia Milan,10,21,9,9,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,10,21,9,8,56 100 50
Panathinaikos OPAP Athens,9,21,8,11,56 100 50
Maccabi FOX Tel Aviv,9,21,9,10,56 100 50
Zalgiris Kaunas,8,21,8,13,56 100 50
Buducnost VOLI Podgorica,6,21,6,15,56 100 50
Darussafaka Tekfen Istanbul,3,21,3,16,56 100 50
FC Bayern Munich,11,21,10,7,56 100 50
FC Barcelona Lassa,12,21,11,5,56 100 50
Khimki Moscow Region,8,21,7,12,56 100 50
Herbalife Gran Canaria,6,21,6,14,56 100 50
Fenerbahce Beko Istanbul,19,22,18,1,56 100 50
Olympiacos Piraeus,12,22,12,6,56 100 50
CSKA Moscow,17,22,16,2,56 100 50
Anadolu Efes Istanbul,14,22,13,4,56 100 50
Real Madrid,17,22,17,3,56 100 50
AX Armani Exchange Olimpia Milan,11,22,10,9,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,11,22,10,8,56 100 50
Panathinaikos OPAP Athens,9,22,9,12,56 100 50
Maccabi FOX Tel Aviv,10,22,9,10,56 100 50
Zalgiris Kaunas,8,22,8,13,56 100 50
Buducnost VOLI Podgorica,6,22,6,15,56 100 50
Darussafaka Tekfen Istanbul,3,22,3,16,56 100 50
FC Bayern Munich,11,22,11,7,56 100 50
FC Barcelona Lassa,13,22,12,5,56 100 50
Khimki Moscow Region,9,22,8,11,56 100 50
Herbalife Gran Canaria,6,22,6,14,56 100 50
Fenerbahce Beko Istanbul,20,23,19,1,56 100 50
Olympiacos Piraeus,12,23,12,7,56 100 50
CSKA Moscow,18,23,17,2,56 100 50
Anadolu Efes Istanbul,15,23,14,4,56 100 50
Real Madrid,18,23,17,3,56 100 50
AX Armani Exchange Olimpia Milan,12,23,11,6,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,11,23,11,8,56 100 50
Panathinaikos OPAP Athens,10,23,9,11,56 100 50
Maccabi FOX Tel Aviv,10,23,10,10,56 100 50
Zalgiris Kaunas,9,23,8,13,56 100 50
Buducnost VOLI Podgorica,6,23,6,15,56 100 50
Darussafaka Tekfen Istanbul,3,23,3,16,56 100 50
FC Bayern Munich,11,23,11,9,56 100 50
FC Barcelona Lassa,14,23,13,5,56 100 50
Khimki Moscow Region,9,23,9,12,56 100 50
Herbalife Gran Canaria,6,23,6,14,56 100 50
Fenerbahce Beko Istanbul,21,24,20,1,56 100 50
Olympiacos Piraeus,12,24,12,8,56 100 50
CSKA Moscow,19,24,18,2,56 100 50
Anadolu Efes Istanbul,15,24,15,4,56 100 50
Real Madrid,18,24,18,3,56 100 50
AX Armani Exchange Olimpia Milan,13,24,12,6,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,12,24,11,7,56 100 50
Panathinaikos OPAP Athens,11,24,10,11,56 100 50
Maccabi FOX Tel Aviv,11,24,10,10,56 100 50
Zalgiris Kaunas,9,24,9,13,56 100 50
Buducnost VOLI Podgorica,6,24,6,15,56 100 50
Darussafaka Tekfen Istanbul,3,24,3,16,56 100 50
FC Bayern Munich,12,24,11,9,56 100 50
FC Barcelona Lassa,15,24,14,5,56 100 50
Khimki Moscow Region,9,24,9,12,56 100 50
Herbalife Gran Canaria,6,24,6,14,56 100 50
Fenerbahce Beko Istanbul,21,25,21,1,56 100 50
Olympiacos Piraeus,13,25,12,8,56 100 50
CSKA Moscow,20,25,19,2,56 100 50
Anadolu Efes Istanbul,16,25,15,4,56 100 50
Real Madrid,19,25,18,3,56 100 50
AX Armani Exchange Olimpia Milan,13,25,13,7,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,13,25,12,6,56 100 50
Panathinaikos OPAP Athens,12,25,11,10,56 100 50
Maccabi FOX Tel Aviv,12,25,11,9,56 100 50
Zalgiris Kaunas,10,25,9,12,56 100 50
Buducnost VOLI Podgorica,6,25,6,15,56 100 50
Darussafaka Tekfen Istanbul,3,25,3,16,56 100 50
FC Bayern Munich,12,25,12,11,56 100 50
FC Barcelona Lassa,15,25,15,5,56 100 50
Khimki Moscow Region,9,25,9,13,56 100 50
Herbalife Gran Canaria,6,25,6,14,56 100 50
Fenerbahce Beko Istanbul,22,26,21,1,56 100 50
Olympiacos Piraeus,13,26,13,8,56 100 50
CSKA Moscow,20,26,20,2,56 100 50
Anadolu Efes Istanbul,17,26,16,4,56 100 50
Real Madrid,20,26,19,3,56 100 50
AX Armani Exchange Olimpia Milan,14,26,13,7,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,14,26,13,6,56 100 50
Panathinaikos OPAP Athens,13,26,12,9,56 100 50
Maccabi FOX Tel Aviv,12,26,12,10,56 100 50
Zalgiris Kaunas,11,26,10,12,56 100 50
Buducnost VOLI Podgorica,6,26,6,15,56 100 50
Darussafaka Tekfen Istanbul,3,26,3,16,56 100 50
FC Bayern Munich,12,26,12,11,56 100 50
FC Barcelona Lassa,15,26,15,5,56 100 50
Khimki Moscow Region,9,26,9,13,56 100 50
Herbalife Gran Canaria,7,26,6,14,56 100 50
Fenerbahce Beko Istanbul,23,27,22,1,56 100 50
Olympiacos Piraeus,14,27,13,8,56 100 50
CSKA Moscow,21,27,20,2,56 100 50
Anadolu Efes Istanbul,17,27,17,4,56 100 50
Real Madrid,21,27,20,3,56 100 50
AX Armani Exchange Olimpia Milan,14,27,14,7,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,14,27,14,6,56 100 50
Panathinaikos OPAP Athens,14,27,13,9,56 100 50
Maccabi FOX Tel Aviv,12,27,12,11,56 100 50
Zalgiris Kaunas,12,27,11,10,56 100 50
Buducnost VOLI Podgorica,6,27,6,15,56 100 50
Darussafaka Tekfen Istanbul,4,27,3,16,56 100 50
FC Bayern Munich,12,27,12,12,56 100 50
FC Barcelona Lassa,16,27,15,5,56 100 50
Khimki Moscow Region,9,27,9,13,56 100 50
Herbalife Gran Canaria,7,27,7,14,56 100 50
Fenerbahce Beko Istanbul,23,28,23,1,56 100 50
Olympiacos Piraeus,14,28,14,9,56 100 50
CSKA Moscow,22,28,21,2,56 100 50
Anadolu Efes Istanbul,18,28,17,4,56 100 50
Real Madrid,21,28,21,3,56 100 50
AX Armani Exchange Olimpia Milan,14,28,14,8,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,15,28,14,6,56 100 50
Panathinaikos OPAP Athens,15,28,14,7,56 100 50
Maccabi FOX Tel Aviv,13,28,12,11,56 100 50
Zalgiris Kaunas,13,28,12,10,56 100 50
Buducnost VOLI Podgorica,6,28,6,15,56 100 50
Darussafaka Tekfen Istanbul,4,28,4,16,56 100 50
FC Bayern Munich,13,28,12,12,56 100 50
FC Barcelona Lassa,16,28,16,5,56 100 50
Khimki Moscow Region,9,28,9,13,56 100 50
Herbalife Gran Canaria,8,28,7,14,56 100 50
Fenerbahce Beko Istanbul,24,29,23,1,56 100 50
Olympiacos Piraeus,14,29,14,11,56 100 50
CSKA Moscow,23,29,22,2,56 100 50
Anadolu Efes Istanbul,19,29,18,4,56 100 50
Real Madrid,22,29,21,3,56 100 50
AX Armani Exchange Olimpia Milan,14,29,14,9,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,15,29,15,6,56 100 50
Panathinaikos OPAP Athens,15,29,15,7,56 100 50
Maccabi FOX Tel Aviv,14,29,13,10,56 100 50
Zalgiris Kaunas,14,29,13,8,56 100 50
Buducnost VOLI Podgorica,6,29,6,15,56 100 50
Darussafaka Tekfen Istanbul,5,29,4,16,56 100 50
FC Bayern Munich,13,29,13,12,56 100 50
FC Barcelona Lassa,17,29,16,5,56 100 50
Khimki Moscow Region,9,29,9,13,56 100 50
Herbalife Gran Canaria,8,29,8,14,56 100 50
Fenerbahce Beko Istanbul,25,30,24,1,56 100 50
Olympiacos Piraeus,15,30,14,9,56 100 50
CSKA Moscow,24,30,23,2,56 100 50
Anadolu Efes Istanbul,20,30,19,4,56 100 50
Real Madrid,22,30,22,3,56 100 50
AX Armani Exchange Olimpia Milan,14,30,14,12,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,15,30,15,7,56 100 50
Panathinaikos OPAP Athens,16,30,15,6,56 100 50
Maccabi FOX Tel Aviv,14,30,14,10,56 100 50
Zalgiris Kaunas,15,30,14,8,56 100 50
Buducnost VOLI Podgorica,6,30,6,15,56 100 50
Darussafaka Tekfen Istanbul,5,30,5,16,56 100 50
FC Bayern Munich,14,30,13,11,56 100 50
FC Barcelona Lassa,18,30,17,5,56 100 50
Khimki Moscow Region,9,30,9,13,56 100 50
Herbalife Gran Canaria,8,30,8,14,56 100 50
