name,value,year,lastValue,rank,color
Fenerbahce Beko Istanbul,1,1,0,1,56 100 50
Olympiacos Piraeus,1,1,0,2,353 94 42
CSKA Moscow,1,1,0,3,358 77 50
Anadolu Efes Istanbul,1,1,0,4,215 55 30
Real Madrid,1,1,0,5,288 48 36
AX Armani Exchange Olimpia Milan,1,1,0,6,3 79 49
KIROLBET Baskonia Vitoria-Gasteiz,1,1,0,7,351 85 44
Panathinaikos OPAP Athens,1,1,0,8,153 100 24
Maccabi FOX Tel Aviv,0,1,0,9,56 97 60
Zalgiris Kaunas,0,1,0,10,143 67 34
Buducnost VOLI Podgorica,0,1,0,11,209 100 24
Darussafaka Tekfen Istanbul,0,1,0,12,148 100 33
FC Bayern Munich,0,1,0,13,374 100 42
FC Barcelona Lassa,0,1,0,14,360 96 40
Khimki Moscow Region,0,1,0,15,50 77 60
Herbalife Gran Canaria,0,1,0,16,41 100 55
Fenerbahce Beko Istanbul,2,2,1,1,56 100 50
Olympiacos Piraeus,2,2,1,2,56 100 50
CSKA Moscow,2,2,1,3,56 100 50
Anadolu Efes Istanbul,1,2,1,6,56 100 50
Real Madrid,2,2,1,4,56 100 50
AX Armani Exchange Olimpia Milan,1,2,1,7,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,1,2,1,9,56 100 50
Panathinaikos OPAP Athens,1,2,1,8,56 100 50
Maccabi FOX Tel Aviv,1,2,0,13,56 100 50
Zalgiris Kaunas,1,2,0,5,56 100 50
Buducnost VOLI Podgorica,0,2,0,14,56 100 50
Darussafaka Tekfen Istanbul,1,2,0,10,56 100 50
FC Bayern Munich,1,2,0,11,56 100 50
FC Barcelona Lassa,0,2,0,15,56 100 50
Khimki Moscow Region,0,2,0,16,56 100 50
Herbalife Gran Canaria,1,2,0,12,56 100 50
Fenerbahce Beko Istanbul,3,3,2,2,56 100 50
Olympiacos Piraeus,2,3,2,7,56 100 50
CSKA Moscow,3,3,2,3,56 100 50
Anadolu Efes Istanbul,2,3,1,6,56 100 50
Real Madrid,3,3,2,1,56 100 50
AX Armani Exchange Olimpia Milan,2,3,1,4,56 100 50
KIROLBET Baskonia Vitoria-Gasteiz,1,3,1,12,56 100 50
Panathinaikos OPAP Athens,2,3,1,5,56 100 50
Maccabi FOX Tel Aviv,1,3,1,8,56 100 50
Zalgiris Kaunas,1,3,1,9,56 100 50
Buducnost VOLI Podgorica,0,3,0,15,56 100 50
Darussafaka Tekfen Istanbul,1,3,1,11,56 100 50
FC Bayern Munich,1,3,1,13,56 100 50
FC Barcelona Lassa,1,3,0,10,56 100 50
Khimki Moscow Region,0,3,0,16,56 100 50
