name,value,year,lastValue,rank,color
KIROLBET Baskonia Vitoria-Gasteiz,2,8,2,12,343 100 43
Panathinaikkos OPAP Athens,5,8,4,6,149 100 24
Maccabi FOX Tel Aviv,1,8,1,14,42 96 61
Zalgris Kaunas,3,8,3,9,149 100 24
Buducnost VOLI Podgorica,1,8,1,15,216 100 32
Darussafaka Tekfen,1,8,1,16,149 100 24
FC Bayern Munich,3,8,3,10,374 100 42
FC Barcelona Lassa,5,8,5,7,346 100 39
Khimki Moscow Region,2,8,1,11,42 96 61
Herbalife Gran Canaria,2,8,2,13,42 96 61
Fenerbahçe Beko,8,9,7,2,42 96 61
Olympiacos Piraeus,5,9,4,8,346 100 39
CSKA Moscow,8,9,8,3,374 100 42
Anadolu Efes,7,9,6,4,216 100 32
Real Madrid,8,9,8,1,288 48 36
AX Armani Exchange Olimpia Milan,6,9,6,5,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,3,9,2,11,343 100 43
Panathinaikkos OPAP Athens,5,9,5,7,149 100 24
Maccabi FOX Tel Aviv,1,9,1,15,42 96 61
Zalgris Kaunas,3,9,3,10,149 100 24
Buducnost VOLI Podgorica,2,9,1,13,216 100 32
Darussafaka Tekfen,1,9,1,16,149 100 24
FC Bayern Munich,4,9,3,9,374 100 42
FC Barcelona Lassa,6,9,5,6,346 100 39
Khimki Moscow Region,3,9,2,12,42 96 61
Herbalife Gran Canaria,2,9,2,14,42 96 61
Fenerbahçe Beko,9,10,8,1,42 96 61
Olympiacos Piraeus,6,10,5,5,346 100 39
CSKA Moscow,9,10,8,2,374 100 42
Anadolu Efes,8,10,7,4,216 100 32
Real Madrid,8,10,8,3,288 48 36
AX Armani Exchange Olimpia Milan,6,10,6,6,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,3,10,3,12,343 100 43
Panathinaikkos OPAP Athens,5,10,5,8,149 100 24
Maccabi FOX Tel Aviv,2,10,1,14,42 96 61
Zalgris Kaunas,4,10,3,9,149 100 24
Buducnost VOLI Podgorica,2,10,2,15,216 100 32
Darussafaka Tekfen,1,10,1,16,149 100 24
FC Bayern Munich,4,10,4,11,374 100 42
FC Barcelona Lassa,6,10,6,7,346 100 39
Khimki Moscow Region,4,10,3,10,42 96 61
Herbalife Gran Canaria,3,10,2,13,42 96 61
Fenerbahçe Beko,10,11,9,1,42 96 61
Olympiacos Piraeus,6,11,6,5,346 100 39
CSKA Moscow,9,11,9,3,374 100 42
Anadolu Efes,8,11,8,4,216 100 32
Real Madrid,9,11,8,2,288 48 36
AX Armani Exchange Olimpia Milan,6,11,6,6,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,4,11,3,11,343 100 43
Panathinaikkos OPAP Athens,5,11,5,8,149 100 24
Maccabi FOX Tel Aviv,3,11,2,14,42 96 61
Zalgris Kaunas,5,11,4,9,149 100 24
Buducnost VOLI Podgorica,3,11,2,15,216 100 32
Darussafaka Tekfen,1,11,1,16,149 100 24
FC Bayern Munich,5,11,4,10,374 100 42
FC Barcelona Lassa,6,11,6,7,346 100 39
Khimki Moscow Region,4,11,4,12,42 96 61
Herbalife Gran Canaria,4,11,3,13,42 96 61
Fenerbahçe Beko,11,12,10,1,42 96 61
Olympiacos Piraeus,7,12,6,5,346 100 39
CSKA Moscow,10,12,9,3,374 100 42
Anadolu Efes,8,12,8,4,216 100 32
Real Madrid,10,12,9,2,288 48 36
AX Armani Exchange Olimpia Milan,6,12,6,7,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,5,12,4,11,343 100 43
Panathinaikkos OPAP Athens,6,12,5,6,149 100 24
Maccabi FOX Tel Aviv,3,12,3,14,42 96 61
Zalgris Kaunas,5,12,5,10,149 100 24
Buducnost VOLI Podgorica,3,12,3,15,216 100 32
Darussafaka Tekfen,1,12,1,16,149 100 24
FC Bayern Munich,6,12,5,8,374 100 42
FC Barcelona Lassa,6,12,6,9,346 100 39
Khimki Moscow Region,4,12,4,13,42 96 61
Herbalife Gran Canaria,5,12,4,12,42 96 61
Fenerbahçe Beko,12,13,11,1,42 96 61
Olympiacos Piraeus,8,13,7,5,346 100 39
CSKA Moscow,10,13,10,3,374 100 42
Anadolu Efes,9,13,8,4,216 100 32
