name,value,year,LastValue,rank
Fenerbahçe Beko,2,2.6,1,1
Olympiacos Piraeus,2,2.6,1,2
CSKA Moscow,2,2.6,1,3
Anadolu Efes,1,2.6,1,6
Real Madrid,2,2.6,1,4
AX Armani Exchange Olimpia Milan,1,2.6,1,7
KIROLBET Baskonia Vitoria-Gasteiz,1,2.6,1,9
Panathinaikkos OPAP Athens,1,2.6,1,8
Maccabi FOX Tel Aviv,1,2.6,0,13
Zalgris Kaunas,1,2.6,0,5
Buducnost VOLI Podgorica,0,2.6,0,14
Darussafaka Tekfen,1,2.6,0,10
FC Bayern Munich,1,2.6,0,11
FC Barcelona Lassa,0,2.6,0,15
Khimki Moscow Region,0,2.6,0,16
Herbalife Gran Canaria,1,2.6,0,12
Fenerbahçe Beko,3,3.6,2,2
Olympiacos Piraeus,2,3.6,2,7
CSKA Moscow,3,3.6,2,3
Anadolu Efes,2,3.6,1,6
Real Madrid,3,3.6,2,1
AX Armani Exchange Olimpia Milan,2,3.6,1,4
KIROLBET Baskonia Vitoria-Gasteiz,1,3.6,1,12
Panathinaikkos OPAP Athens,2,3.6,1,5
Maccabi FOX Tel Aviv,1,3.6,1,8
Zalgris Kaunas,1,3.6,1,9
Buducnost VOLI Podgorica,0,3.6,0,15
Darussafaka Tekfen,1,3.6,1,11
FC Bayern Munich,1,3.6,1,13
FC Barcelona Lassa,1,3.6,0,10
Khimki Moscow Region,0,3.6,0,16
Herbalife Gran Canaria,1,3.6,1,14
Fenerbahçe Beko,3,4.6,3,3
Olympiacos Piraeus,3,4.6,2,6
CSKA Moscow,4,4.6,3,2
Anadolu Efes,3,4.6,2,5
Real Madrid,4,4.6,3,1
AX Armani Exchange Olimpia Milan,3,4.6,2,4
KIROLBET Baskonia Vitoria-Gasteiz,1,4.6,1,13
Panathinaikkos OPAP Athens,2,4.6,2,7
Maccabi FOX Tel Aviv,1,4.6,1,11
Zalgris Kaunas,2,4.6,1,8
Buducnost VOLI Podgorica,0,4.6,0,16
Darussafaka Tekfen,1,4.6,1,12
FC Bayern Munich,2,4.6,1,10
FC Barcelona Lassa,2,4.6,1,9
Khimki Moscow Region,0,4.6,0,15
Herbalife Gran Canaria,1,4.6,1,14
Fenerbahçe Beko,4,5.6,3,3
Olympiacos Piraeus,3,5.6,3,8
CSKA Moscow,5,5.6,4,2
Anadolu Efes,3,5.6,3,7
Real Madrid,5,5.6,4,1
AX Armani Exchange Olimpia Milan,4,5.6,3,4
KIROLBET Baskonia Vitoria-Gasteiz,2,5.6,1,9
Panathinaikkos OPAP Athens,3,5.6,2,5
Maccabi FOX Tel Aviv,1,5.6,1,13
Zalgris Kaunas,2,5.6,2,10
Buducnost VOLI Podgorica,0,5.6,0,16
Darussafaka Tekfen,1,5.6,1,14
FC Bayern Munich,2,5.6,2,11
